"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1u","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C2,C4","10n","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"C3,C5","100n","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"C6","470uF/16V","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"J1,J2","Screw_Terminal_01x02","~","TerminalBlock_RND:TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal","2",""
"J3","Turn on jumper","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J4","Servo","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"Q1","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2","IRF9540N","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2,R3","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R4","270k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R5,RV2","10k","~","-- smíšené hodnoty --","2",""
"RV1","22k","~","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","1",""
"SW1","DPDT","~","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","1",""
"U1,U2","NE555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","2",""
